_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,BARCODE,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
677996,315,PS-00263,17,Sheppard Ave W,Sheppard Ave W,North,Yonge St,West,09299,18,,Corral,Existing,K2309299,0,311902.748,4846807.751,-79.411788084,43.761194372,"{u'type': u'Point', u'coordinates': (-79.4117880824, 43.7611943767)}"
677997,316,PS-00267,10,York Mills Rd,York Mills Rd,North,Yonge St,East,09302,15,,Corral,Existing,K2509302,0,312391.017,4844946.239,-79.405750377,43.744433715,"{u'type': u'Point', u'coordinates': (-79.4057503783, 43.7444337179)}"
677998,320,PS-00282,1,Dundas St E,Dundas St E,South,Yonge St,East,08045,13,Downtown Yonge,Corral,Existing,K2708045,0,314428.071,4835159.985,-79.380633369,43.656321422,"{u'type': u'Point', u'coordinates': (-79.380633373, 43.6563214213)}"
677999,321,PS-00286,1603,Eglinton Ave W,Eglinton Ave W,South,Oakwood Ave,West,09554,12,York-Eglinton,Corral,Temporarily Removed,K1509554,0,309382.67699999997,4839689.627,-79.443146485,43.697142361000004,"{u'type': u'Point', u'coordinates': (-79.443146487, 43.697142359)}"
678000,322,PS-00291,379,St Clair Ave W,St Clair Ave W,South,Wells Hill Ave,East,09558,12,Wychwood Heights,Corral,Existing,K1509558,0,311625.705,4838187.356000001,-79.415338131,43.683602752,"{u'type': u'Point', u'coordinates': (-79.4153381273, 43.6836027569)}"
678001,324,PS-00296,2072,Lawrence Ave E,Lawrence Ave E,North,Warden Ave,East,09560,21,Wexford Heights,Corral,Existing,K3709560,0,321354.87899999996,4845094.193,-79.294451557,43.745619518000005,"{u'type': u'Point', u'coordinates': (-79.2944515521, 43.7456195189)}"
678002,325,PS-00298,65,Ellesmere Rd,Ellesmere Rd,South,Victoria Park Ave,East,09562,21,,Corral,Existing,K3709562,0,319734.779,4846452.23,-79.314529154,43.75787782,"{u'type': u'Point', u'coordinates': (-79.3145291589, 43.7578778229)}"
678003,326,PS-00300,1270,Brimley Rd,Brimley Rd,West,Ellesmere Rd,South,09563,21,,Corral,Existing,K3709563,0,324001.794,4847784.266,-79.261491065,43.76976934100001,"{u'type': u'Point', u'coordinates': (-79.2614910661, 43.7697693455)}"
678004,327,PS-00307,,,Warden Ave,East,Finch Ave E,South,09568,22,,Corral,Existing,K4009568,0,319653.374,4850737.483,-79.315421484,43.796451508000004,"{u'type': u'Point', u'coordinates': (-79.3154214882, 43.7964515101)}"
678005,328,PS-00309,2330,Kennedy Rd,Kennedy Rd,West,Sheppard Ave E,North,09569,22,,Corral,Existing,K0409569,0,321812.975,4849303.987,-79.288630407,43.783502008999996,"{u'type': u'Point', u'coordinates': (-79.288630407, 43.7835020076)}"
