_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,STYLE,BARCODE,POSTERBOARD,POSTERBOARDSTATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
659011,7974,TR-01687,54,Brampton Rd,The Westway,South,Brampton Rd,West,T6182,2,,LKN,Existing,Provincial,S0406182,Yes,Existing,0,299867.517,4838299.431,-79.561180545,43.684626553,"{u'type': u'Point', u'coordinates': (-79.5611805452, 43.6846265578)}"
659012,7980,TR-02929,191,Wickson Trl,Brenyon Way,West,Wickson Trl,South,T9848,25,,LKN,Existing,Provincial,S4209848,Yes,Existing,0,328032.113,4851750.103999999,-79.211258542,43.805350542,"{u'type': u'Point', u'coordinates': (-79.2112585393, 43.8053505433)}"
659013,7988,TR-00783,122,Brimorton Dr,Mccowan Rd,West,Brimorton Dr,North,T5664,21,,T,Existing,Provincial,S3805664,Yes,Existing,0,324996.206,4847326.7930000005,-79.249156621,43.765625142,"{u'type': u'Point', u'coordinates': (-79.2491566185, 43.7656251475)}"
659014,7989,TR-00798,5414,Yonge St,Yonge St,West,Horsham Ave,North,T9009,18,,LKN,Existing,Provincial,S2309009,Yes,Existing,0,311674.37899999996,4848380.287,-79.41460415,43.775351186,"{u'type': u'Point', u'coordinates': (-79.4146041514, 43.7753511863)}"
659015,7993,TR-00846,1100,Sheppard Ave W,Sheppard Ave W,North,Kodiak Cres,East,3707,6,DuKe Heights,J,Existing,Provincial,0TS11142,Yes,Existing,0,307470.149,4845758.911,-79.466843535,43.751782792,"{u'type': u'Point', u'coordinates': (-79.4668435296, 43.7517827958)}"
659016,7994,TR-00861,57,Flax Gardenway,Peter Kaiser Gt,East,Steeles Ave W,South,T1453,7,,T,Temporarily Removed,Provincial,S0801453,Yes,Existing,0,302657.613,4848224.81,-79.52661284199999,43.773980518,"{u'type': u'Point', u'coordinates': (-79.5266128446, 43.7739805159)}"
659017,7996,TR-00906,4340,Bloor St W,Bloor St W,North,Mill Rd,West,4065,2,,D,Existing,Provincial,S0300560,Yes,Existing,0,298568.904,4832364.8780000005,-79.577219524,43.631197865,"{u'type': u'Point', u'coordinates': (-79.5772195209, 43.6311978654)}"
659018,7997,TR-00917,2040,Ellesmere Rd,Ellesmere Rd,North,Dolly Varden Blvd,West,197,24,,B,Existing,Provincial,0TS11272,Yes,Existing,0,326110.686,4848464.271000001,-79.235269405,43.775832451999996,"{u'type': u'Point', u'coordinates': (-79.2352694036, 43.7758324548)}"
659019,8000,TR-00961,1,Donnalyn Dr,Peckham Ave,West,Donnalyn Dr,South,T6655,18,,T,Existing,Provincial,S2306655,Yes,Existing,0,309881.822,4850076.666,-79.43685581,43.790635003999995,"{u'type': u'Point', u'coordinates': (-79.4368558124, 43.7906350099)}"
659020,8002,TR-00993,124,Roncesvalles Ave,Roncesvalles Ave,West,Galley Ave,North,T4573,4,Roncesvalles Village,R,Existing,Provincial,0TS11596,Yes,Existing,0,309007.006,4833676.498,-79.447854007,43.643018446999996,"{u'type': u'Point', u'coordinates': (-79.4478540086, 43.643018445)}"
