_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,STYLE,BARCODE,POSTERBOARD,POSTERBOARDSTATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
2474507,3423,SH-02573,26,Courtsfield Cres,Royal York Rd,East,Allanhurst Dr,South,T6970,2,,C,Existing,Enseicom,,No,,0,302784.001,4837661.322,-79.52500326100001,43.678896375,"{u'type': u'Point', u'coordinates': (-79.5250032652, 43.6788963778)}"
2474508,3424,SH-02328,2775,Don Mills Rd,Don Mills Rd E,East,Fairview Mall Dr,North,T1929,17,,B,Existing,Enseicom,,Yes,Existing,0,316978.521,4848850.797,-79.34870381,43.779518083999996,"{u'type': u'Point', u'coordinates': (-79.3487038142, 43.7795180854)}"
2474509,3425,SH-03282,1106,Avenue Rd,Avenue Rd,West,Kelway Blvd,North,T4793,8,,A,Existing,Enseicom,,No,,0,312025.015,4840906.81,-79.410348874,43.708077545,"{u'type': u'Point', u'coordinates': (-79.4103488751, 43.7080775439)}"
2474510,3431,SH-01162,2345,Finch Ave W,Finch Ave W,South,Weston Rd,East,,7,Emery Village,Standard Daytech,Temporarily Removed,Daytech,,No,,0,301432.765,4845784.369,-79.541812668,43.75200911100001,"{u'type': u'Point', u'coordinates': (-79.5418126659, 43.7520091096)}"
2474511,3437,SH-00061,1520,The Queensway,,,Algie Ave,,,3,,Standard Daytech,Existing,Daytech,,No,,0,301819.586,4830990.31,-79.536927535,43.618844938,"{u'type': u'Point', u'coordinates': (-79.536927536, 43.6188449429)}"
2474512,3439,SH-02094,906,Sheppard Ave W,Sheppard Ave W,North,Wilson Heights Blvd,East,T7300,6,,A,Existing,Enseicom,,No,,0,308307.24199999997,4845766.995,-79.456448915,43.751852068999995,"{u'type': u'Point', u'coordinates': (-79.45644891, 43.7518520735)}"
2474513,3440,SH-03345,50,Queen St W,Queen St W,North,Bay St,West,T260,13,,B,Existing,Enseicom,,Yes,Existing,0,314300.562,4834667.0139999995,-79.382222872,43.651885658999994,"{u'type': u'Point', u'coordinates': (-79.3822228697, 43.6518856633)}"
2474514,3449,SH-01156,1X,Allenby Ave,Islington Ave,East,Allenby Ave,South,T3755,1,,C,Existing,Enseicom,,No,,0,300523.922,4841258.6680000005,-79.553062247,43.711267553999996,"{u'type': u'Point', u'coordinates': (-79.5530622483, 43.7112675529)}"
2474515,3450,TR-04083,85,The East Mall,North Queen St,South,The East Mall,East,T14320,3,,RN1,Existing,Provincial,S0514320,No,,0,300857.637,4831174.1,-79.548847492,43.620494841,"{u'type': u'Point', u'coordinates': (-79.5488474863, 43.6204948403)}"
2474516,3451,TR-04084,1611,Queen St E,Queen St E,South,Coxwell Ave,West,T4557,14,,RN1,Existing,Provincial,S3204557,No,,0,319564.092,4836264.675,-79.316928215,43.666180838,"{u'type': u'Point', u'coordinates': (-79.3169282095, 43.6661808421)}"
2474517,3452,TR-04085,87,Island Rd,Island Rd,South,East Ave,West,T6470,25,,LCN,Existing,Provincial,S4406470,No,,0,333827.77,4850948.783,-79.139271599,43.797933217,"{u'type': u'Point', u'coordinates': (-79.1392715998, 43.7979332209)}"
2474518,3453,TR-04090,158,Euclid Ave,Meadowvale Rd,West,Euclid Ave,North,T6568,25,,LCN,Existing,Provincial,S4406568,No,,0,331738.718,4850741.092,-79.165242252,43.796142783,"{u'type': u'Point', u'coordinates': (-79.165242253, 43.7961427882)}"
2474519,3454,TR-04091,3295,Ellesmere Rd,Military Trl,East,Ellesmere Rd,South,T7977,25,,RN1,Existing,Provincial,S4407977,No,,0,330014.594,4849596.682,-79.186720803,43.785902689,"{u'type': u'Point', u'coordinates': (-79.1867208046, 43.7859026943)}"
2474520,3455,TR-04093,2265,Midland Ave,Midland Ave,East,Progress Ave,North,T5684,21,,LCN,Existing,Provincial,S3705684,No,,0,322998.958,4848431.726,-79.273925425,43.775622508999994,"{u'type': u'Point', u'coordinates': (-79.2739254214, 43.7756225111)}"
2474521,3456,TR-04094,2161,Midland Ave,Midland Ave,East,Progress Ave,South,T5733,21,,LCN,Existing,Provincial,S3705733,No,,0,323094.445,4848122.575,-79.272749793,43.772837463,"{u'type': u'Point', u'coordinates': (-79.2727497915, 43.7728374613)}"
2474522,3457,TR-04095,110,Progress Ave,Midland Ave,West,Progress Ave,North,T5734,21,,LCN,Existing,Provincial,S3705734,No,,0,323054.395,4848146.677,-79.273246461,43.773055393,"{u'type': u'Point', u'coordinates': (-79.2732464616, 43.7730553938)}"
2474523,3459,TR-04099,645,Evans Ave,Evans Ave,South,Gair Dr,West,T2440,3,,RN2,Existing,Provincial,S0602440,No,,0,300578.213,4829990.888,-79.55230042699999,43.609842723999996,"{u'type': u'Point', u'coordinates': (-79.5523004311, 43.6098427284)}"
2474524,3460,TR-04100,613,Evans Ave,Evans Ave,South,Brown's Line,West,T2434,3,,RN2,Existing,Provincial,S0602434,No,,0,300808.416,4830057.21,-79.549449111,43.610440985,"{u'type': u'Point', u'coordinates': (-79.5494491156, 43.6104409897)}"
2474525,3461,TR-04101,120,Grangeway Ave,Grangeway Ave,West,Progress Ave,South,T9608,24,,LCN,Temporarily Removed,Provincial,S3809608,No,,0,324879.24199999997,4848481.482,-79.250566149,43.776021779,"{u'type': u'Point', u'coordinates': (-79.2505661443, 43.7760217809)}"
2474526,3462,TR-04105,49,Thorncliffe Park Dr,Thorncliffe Park Dr,East,Milepost Pl,South,T8344,15,,LKN,Existing,Provincial,,Yes,Existing,0,317495.596,4840285.617,-79.342482374,43.702412638999995,"{u'type': u'Point', u'coordinates': (-79.3424823698, 43.7024126404)}"
2474527,3463,TR-04106,28,Rosebank Dr,Progress Ave,West,Rosebank Dr,North,T12056,23,,LKN,Existing,Provincial,S4212056,Yes,Existing,0,326187.462,4850315.891,-79.23424184699999,43.792496766000006,"{u'type': u'Point', u'coordinates': (-79.2342418458, 43.7924967712)}"
2474528,3464,TR-04107,12,Thorncliffe Park Dr,Thorncliffe Park Dr,East,Overlea Blvd,South,T8348,15,,LKN,Existing,Provincial,S2608348,Yes,Existing,0,316980.865,4840524.683999999,-79.34886335,43.704573166,"{u'type': u'Point', u'coordinates': (-79.3488633457, 43.7045731635)}"
2474529,3465,TR-04108,868,Progress Ave,Progress Ave,North,Estate Dr,East,T6006,24,,LCN,Existing,Provincial,S3806006,No,,0,325910.534,4849042.938,-79.237732986,43.7810468,"{u'type': u'Point', u'coordinates': (-79.2377329871, 43.7810468057)}"
2474530,3466,TR-04109,1000,Queen St W,Queen St W,North,Ossington Ave,East,T6847,10,West Queen West,RN1,Existing,Provincial,,No,,0,311370.526,4833822.268,-79.418556345,43.64431345,"{u'type': u'Point', u'coordinates': (-79.4185563441, 43.6443134564)}"
2474531,3467,TR-04112,2200,Lake Shore Blvd W,Lake Shore Blvd W,Centre North,Park Lawn Rd,West,T5196C,3,,Q10-SA,Existing,Provincial,TS12366L,No,,0,306300.126,4831430.737,-79.48141210600001,43.622813857,"{u'type': u'Point', u'coordinates': (-79.4814121122, 43.622813859)}"
2474532,3469,SH-03137,2062X,Islington Ave,Islington Ave,West,Kingsview Blvd,North,T3807,1,,C,Existing,Enseicom,,No,,0,300914.685,4840004.336,-79.54820418199999,43.699979113999994,"{u'type': u'Point', u'coordinates': (-79.5482041876, 43.6999791191)}"
2474533,3470,TR-04186,,,William R Allen Rd,West,Rimrock Rd,North,T14835,6,DuKe Heights,LCN,Existing,Provincial,S0814835,No,,0,307604.965,4846446.445,-79.46516587100001,43.757970925,"{u'type': u'Point', u'coordinates': (-79.4651658679, 43.7579709252)}"
