_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,BARCODE,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
1627,1,PW-00002,1681,Lake Shore Blvd E,Lake Shore Blvd E,South,Northern Dancer Blvd,East,APT02,19,,Standard,Existing,W3200002,0,320167.934,4835945.768999999,-79.309449815,43.663298043000005,"{u'type': u'Point', u'coordinates': (-79.3094498094, 43.6632980407)}"
1628,2,PW-00003,1275,Lake Shore Blvd W,Lake Shore Blvd W,South,Net Dr,West,APT03,4,,Standard,Existing,W1400003,0,309840.67699999997,4832615.783,-79.437530523,43.63346537100001,"{u'type': u'Point', u'coordinates': (-79.4375305244, 43.6334653708)}"
1629,3,PW-00001,318,Queens Quay W,Queens Quay W,North,Rees St,West,APT01,10,The Waterfront,Standard,Existing,W2000001,0,313928.225,4833236.363,-79.386862847,43.639012533,"{u'type': u'Point', u'coordinates': (-79.3868628413, 43.6390125331)}"
1630,4,PW-00011,1,Strachan Ave,Strachan Ave,East,Fleet St,South,APT04,10,CityPlace and Fort York,Standard,Existing,W1000004,0,312111.731,4832896.773,-79.409381414,43.635975818999995,"{u'type': u'Point', u'coordinates': (-79.4093814162, 43.6359758223)}"
